2018-05-23 19:31:43,545, Controller, [ERROR]: Authenticated 1
2018-05-23 19:31:49,392, Controller, [ERROR]: Authenticated 1
2018-05-23 19:31:58,320, Controller, [ERROR]: Authenticated 1
2018-05-23 19:31:59,668, Controller, [ERROR]: Authenticated 1
2018-05-23 19:32:17,228, Controller, [ERROR]: Authenticated 1
2018-05-23 19:32:50,924, Controller, [ERROR]: Authenticated 1
2018-05-23 19:32:50,962, ProjectController, [WARNING]: Trying to invite user which already invited
2018-05-23 19:35:54,722, Controller, [ERROR]: Authenticated 1
2018-05-23 19:36:21,936, Controller, [ERROR]: Authenticated 1
2018-05-23 19:36:38,287, Controller, [ERROR]: Authenticated 1
2018-05-23 19:37:00,602, Controller, [ERROR]: Authenticated 1
2018-05-23 19:38:20,897, Controller, [ERROR]: Authenticated 1
2018-05-23 19:38:20,946, TaskController, [ERROR]: Trying to connect with non-existent project
2018-05-23 19:38:20,946, TaskController, [ERROR]: Trying to connect with non-existent project
2018-05-23 19:38:42,571, Controller, [ERROR]: Authenticated 1
2018-05-23 19:38:42,618, TaskController, [ERROR]: Trying to connect with non-existent project
2018-05-23 19:38:42,618, TaskController, [ERROR]: Trying to connect with non-existent project
2018-05-23 19:39:42,445, Controller, [ERROR]: Authenticated 1
2018-05-23 19:40:00,765, Controller, [ERROR]: Authenticated 1
2018-05-23 19:40:01,792, Controller, [ERROR]: Authenticated 2
2018-05-23 19:40:10,697, Controller, [ERROR]: Authenticated 2
2018-05-23 19:40:11,802, Controller, [ERROR]: Authenticated 1
2018-05-23 19:40:29,855, Controller, [ERROR]: Authenticated 1
2018-05-23 19:40:36,615, Controller, [ERROR]: Authenticated 1
2018-05-23 19:42:07,195, Controller, [ERROR]: Authenticated 1
2018-05-23 19:42:14,576, Controller, [ERROR]: Authenticated 1
2018-05-23 19:49:51,624, Controller, [ERROR]: Authenticated 1
2018-05-23 19:50:08,312, Controller, [ERROR]: Authenticated 1
2018-05-23 19:50:20,706, Controller, [ERROR]: Authenticated 1
2018-05-23 19:50:45,096, Controller, [ERROR]: Authenticated 2
2018-05-23 19:50:45,123, UserController, [ERROR]: Trying to edit project by guest
2018-05-23 19:50:57,331, Controller, [ERROR]: Authenticated 2
2018-05-23 19:51:17,441, Controller, [ERROR]: Authenticated 1
2018-05-23 19:51:20,363, Controller, [ERROR]: Authenticated 1
2018-05-23 19:51:28,308, Controller, [ERROR]: Authenticated 1
2018-05-23 19:51:35,205, Controller, [ERROR]: Authenticated 1
2018-05-23 19:52:13,700, Controller, [ERROR]: Authenticated 1
2018-05-23 19:52:13,738, ProjectController, [WARNING]: Trying to invite user which already invited
2018-05-23 19:52:21,105, Controller, [ERROR]: Authenticated 1
2018-05-23 19:52:29,990, Controller, [ERROR]: Authenticated 1
2018-05-23 19:53:11,888, Controller, [ERROR]: Authenticated 2
2018-05-23 19:53:26,741, Controller, [ERROR]: Authenticated 2
2018-05-23 19:53:37,574, Controller, [ERROR]: Authenticated 2
2018-05-23 19:53:39,484, Controller, [ERROR]: Authenticated 1
2018-05-23 19:53:45,061, Controller, [ERROR]: Authenticated 1
2018-05-23 19:53:47,088, Controller, [ERROR]: Authenticated 1
2018-05-23 19:54:37,933, Controller, [ERROR]: Authenticated 1
2018-05-23 19:55:30,210, Controller, [ERROR]: Authenticated 1
2018-05-23 21:16:25,168, Controller, [ERROR]: Authenticated 1
2018-05-23 21:16:48,608, Controller, [ERROR]: Authenticated 1
2018-05-23 21:16:48,642, UserController, [ERROR]: Trying to access task which does not belong to user
